norad_id,object_name,timestamp,semi_major_axis_km,eccentricity,inclination_deg,raan_deg,mean_motion_rev_per_day,bstar,tle_age_hours,source
25544,ISS (ZARYA),2026-07-24 03:40:22.647360+00:00,6797.391668040439,0.00069314,51.6315,117.1603,15.49135191,0.00022565778,18.58822873333333,celestrak:stations
25994,TERRA,2026-07-24 06:32:00.266784+00:00,7067.667085114467,0.0003676,97.9435,253.344,14.61129252,8.1453366e-05,15.72742327,celestrak:visual
48274,CSS (TIANHE),2026-07-23 17:44:40.768800+00:00,6770.71001966572,0.00027939,41.4707,100.0405,15.58301329,0.00013736922,28.51652833333333,celestrak:stations
