norad_id,object_name,role,status,anomaly_score,score_prev_day,score_delta_1d,series_outlier,day_over_day_relevant,attention_score,is_anomaly,dq_score,window_end,xgb_class,pair_asset,pair_risk,pair_dist_km
41038,YAOGAN-29,suspect,PAIR_ELEVATED,0.36584946977218163,,,False,False,0.7146,True,0.85,2026-07-25 15:13:18.240096,,31598.0,1.0,44.171
41727,GAOFEN-3,suspect,PAIR_ELEVATED,0.3812958018280172,,,False,False,0.7015,True,0.85,2026-07-25 14:07:45.535008,,35951.0,0.9635,91.42
32289,YAOGAN-3,suspect,PAIR_ELEVATED,0.35742012498714665,,,False,False,0.5998,True,0.85,2026-07-25 14:03:06.532992,,31598.0,0.7982,19.728
39150,GAOFEN-1,suspect,PAIR_ELEVATED,0.3664387012723102,,,False,False,0.5282,True,0.85,2026-07-25 14:56:57.192288,,31598.0,0.6606,64.959
39166,NAVSTAR 68 (USA 242),asset,NOMINAL,0.49963582321351163,,,False,False,,False,0.85,2026-07-25 01:48:16.960320,,,,
39208,SHIYAN-7 (SY-7),suspect,NOMINAL,0.348389377218284,,,False,False,0.4864,False,0.7,2026-07-25 10:29:30.366528,,31598.0,0.5993,78.313
28874,GPS BIIRM-1 (PRN 17),asset,NOMINAL,0.4752010437682333,,,False,False,,False,0.7,2026-07-23 05:51:51.216192,,,,
50321,SHIYAN-12 01 (SY-12 01),suspect,UNRELIABLE_DATA,0.44416439643516314,,,False,False,0.44416439643516314,False,0.44999999999999996,2026-07-25 02:22:51.590208,,28054.0,0.2539,2000.0
40258,LUCH (OLYMP-K 1),suspect,UNRELIABLE_DATA,0.4382394091152107,,,False,False,0.4382394091152107,False,0.30000000000000004,2026-07-23 19:41:07.369152,,31698.0,0.4037,2000.0
43603,BEIDOU-3 M11,suspect,NOMINAL,0.43965992022445377,,,False,False,0.4283,False,0.7,2026-07-24 15:08:54.339072,,28874.0,0.419,1346.196
48865,COSMOS 2550,suspect,NOMINAL,0.3834481700821103,,,False,False,0.4274,False,0.7,2026-07-25 15:02:55.112928,,31698.0,0.4634,736.523
44714,STARLINK-1008,baseline,NOMINAL,0.4262873856045386,,,False,False,,False,0.85,2026-07-25 11:40:13.821312,,,,
55841,LUCH-5X (OLYMP-K 2),suspect,NOMINAL,0.4494197294536342,,,False,False,0.4243,False,0.7,2026-07-25 02:55:05.833056,,25544.0,0.4037,2000.0
48274,CSS (TIANHE),suspect,NOMINAL,0.4161739235207101,,,False,False,0.4202,False,0.85,2026-07-24 16:48:58.098816,,31698.0,0.4235,305.807
25544,ISS (ZARYA),asset,NOMINAL,0.4038807859583913,,,False,False,,False,0.85,2026-07-25 10:38:14.228736,,,,
31698,TERRASAR-X,asset,NOMINAL,0.38333479720898556,,,False,False,,False,0.7,2026-07-25 11:04:07.684320,,,,
28654,NOAA 18,baseline,NOMINAL,0.3538799976283838,,,False,False,,False,0.7,2026-07-25 14:57:29.030688,,,,
31598,COSMO-SKYMED 1,asset,NOMINAL,0.35164116217124003,,,False,False,,False,0.85,2026-07-25 13:32:24.263808,,,,
39084,LANDSAT 8,baseline,NOMINAL,0.35072964838812704,,,False,False,,False,0.7,2026-07-25 14:48:51.281280,,,,
43013,NOAA 20 (JPSS-1),baseline,NOMINAL,0.3506156108740225,,,False,False,,False,0.85,2026-07-25 13:22:30.428832,,,,
35951,DMSP 5D-3 F18 (USA 210),asset,NOMINAL,0.34958724646908546,,,False,False,,False,0.85,2026-07-25 14:38:51.232416,,,,
28054,DMSP 5D-3 F16 (USA 172),asset,NOMINAL,0.348596195377091,,,False,False,,False,0.85,2026-07-25 12:34:24.265344,,,,
25994,TERRA,baseline,NOMINAL,0.34623781406828197,,,False,False,,False,0.85,2026-07-25 14:12:12.837600,,,,
27424,AQUA,baseline,NOMINAL,0.3437675371671194,,,False,False,,False,0.7,2026-07-25 14:17:04.035840,,,,
